Media Sources,Negative,Neutral,Positive,Compound,Tweets Ago,Date,Text
BBC,0.191,0.809,0.0,-0.3818,97,Fri Jun 01 10:38:25 +0000 2018,"Facebook losing out to YouTube, Instagram and Snapchat among US teens https://t.co/ITWDSsq2R2"
BBC,0.0,1.0,0.0,0.0,98,Fri Jun 01 10:38:25 +0000 2018,Queer Eye host 'proud' of first transgender makeover https://t.co/5EENnNyQD4
BBC,0.176,0.824,0.0,-0.4588,99,Fri Jun 01 10:24:19 +0000 2018,"Mariano Rajoy leaves parliament in Madrid after being forced out as Spanish PM

https://t.co/i81EerXWiS https://t.co/U8Mm34BNFS"
BBC,0.381,0.476,0.143,-0.6705,100,Fri Jun 01 09:50:00 +0000 2018,Family of man shot dead by sheriff's deputy awarded $4 damages https://t.co/WHcfPdSoHX
CBS,0.0,1.0,0.0,0.0,1,Sun Jun 03 22:30:01 +0000 2018,"Tonight on @60Minutes, meet Milwaukee Bucks star Giannis Antetokounmpo. Steve Kroft reports on the 23-year-old whos… https://t.co/n1yKVJV93K"
CBS,0.286,0.714,0.0,-0.7003,2,Sun Jun 03 22:14:48 +0000 2018,"2 climbers died after falling from Yosemite National Park's El Capitan, which looms 3,000 feet above the floor of Y… https://t.co/09wBAIkXe0"
CBS,0.0,0.913,0.087,0.2263,3,Sun Jun 03 21:44:50 +0000 2018,"Tonight, celebrity chef José Andrés has prepared more hot meals in Puerto Rico after Hurricane Maria than any of th… https://t.co/Ocu6CR9EH0"
CBS,0.0,1.0,0.0,0.0,4,Sun Jun 03 21:30:01 +0000 2018,Watch NBA Finals 2018: Cleveland Cavaliers vs. Golden State Warriors for the fourth consecutive year… https://t.co/8rmeHJVFAv
CBS,0.0,0.774,0.226,0.4191,5,Sun Jun 03 21:14:36 +0000 2018,"Jimmy Fallon surprises Parkland students at high school graduation: ""Don't let anything stop you""… https://t.co/MbLpAlhT9N"
CBS,0.316,0.684,0.0,-0.7184,6,Sun Jun 03 21:12:40 +0000 2018,"Woman held gun to head, fired shots near San Diego marathon, police say https://t.co/zp2Xosaaeg https://t.co/SPJ1cyimW4"
CBS,0.202,0.734,0.064,-0.6124,7,Sun Jun 03 21:03:27 +0000 2018,"Woman admitted to shooting and killing husband, says it was because he beat family cat, police say… https://t.co/ZZPmyGZFSB"
CBS,0.237,0.763,0.0,-0.4767,8,Sun Jun 03 20:40:44 +0000 2018,Hang glider pilot dies in Idaho air show accident https://t.co/AlXgBl0PUQ https://t.co/bvrfnvMZ0V
CBS,0.187,0.813,0.0,-0.3182,9,Sun Jun 03 20:20:31 +0000 2018,Remembering 1968: The loss of RFK fifty years ago https://t.co/3cZJURGRZN https://t.co/2g5mlSi8mD
CBS,0.0,1.0,0.0,0.0,10,Sun Jun 03 20:00:34 +0000 2018,Woman who went into labor during final exam graduates from Harvard Law School with her daughter in her arms… https://t.co/8dSfQgQbZO
CBS,0.0,0.865,0.135,0.4215,11,Sun Jun 03 19:41:43 +0000 2018,"""You may say I'm a dreamer...""
This 10-year-old performed John Lennon's ""Imagine"" for his school talent show and a… https://t.co/Qrhpn2XI8w"
